feature,feature_group,source,source_column,included,reason,non_null_count,coverage_rate,nunique,all_missing,constant,all_in_set,model_use,feature_label_ko,asof_rule,selection_status
mkt_vol_ma60,market_microstructure,current_pm_final,mkt_vol_ma60,True,previous_selection_retained_after_target_overlap_gate,2112,0.9906191369606004,2111,False,False,all_in_finbert_60d,,거래량 이동평균,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
fuel_anth_krwkwh,power_energy,current_pm_final,fuel_anth_krwkwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,무연탄 단가,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_peak_dem_mw,power_energy,current_pm_final,pwr_peak_dem_mw,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,1992,False,False,all_in_finbert_60d,,최대 전력수요,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_coal_gas_gwh,power_energy,current_pm_final,pwr_coal_gas_gwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,103,False,False,all_in_finbert_60d,,석탄가스 발전량,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_hydro_gwh,power_energy,current_pm_final,pwr_hydro_gwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,수력 발전량,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_mkt_tot_gwh,power_energy,current_pm_final,pwr_mkt_tot_gwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,총 전력시장 거래량,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_nuke_gwh,power_energy,current_pm_final,pwr_nuke_gwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,원자력 발전량,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_wind_gwh,power_energy,current_pm_final,pwr_wind_gwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,풍력 발전량,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_smp_jeju_krwkwh,power_energy,current_pm_final,pwr_smp_jeju_krwkwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,123,False,False,all_in_finbert_60d,,계통한계가격,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
wx_nat_cdd18,weather,current_pm_final,wx_nat_cdd18,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,696,False,False,all_in_finbert_60d,,전국 냉방도일,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
wx_nat_hdd18,weather,current_pm_final,wx_nat_hdd18,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,875,False,False,all_in_finbert_60d,,전국 난방도일,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
fuel_heat_lng_krwgcal,power_energy,current_pm_final,fuel_heat_lng_krwgcal,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,LNG 열량단가,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
wx_stn_min_temp_c,weather,current_pm_final,wx_stn_min_temp_c,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,1357,False,False,all_in_finbert_60d,,관측소 최저기온,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
wx_stn_avg_rh,weather,current_pm_final,wx_stn_avg_rh,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,1530,False,False,all_in_finbert_60d,,관측소 평균습도,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
mkt_daily_logret,market_microstructure,current_pm_final,mkt_daily_logret,True,previous_selection_retained_after_target_overlap_gate,2131,0.99953095684803,2019,False,False,all_in_finbert_60d,,시장 일간 로그수익률,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
mkt_logret_lag1,market_microstructure,current_pm_final,mkt_logret_lag1,True,previous_selection_retained_after_target_overlap_gate,2130,0.99906191369606,2018,False,False,all_in_finbert_60d,,시장 수익률 시차,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
mkt_logret_lag5,market_microstructure,current_pm_final,mkt_logret_lag5,True,previous_selection_retained_after_target_overlap_gate,2126,0.99718574108818,2014,False,False,all_in_finbert_60d,,시장 수익률 시차,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
mkt_logret_ma20,market_microstructure,current_pm_final,mkt_logret_ma20,True,previous_selection_retained_after_target_overlap_gate,2125,0.99671669793621,2078,False,False,all_in_finbert_60d,,시장 수익률 이동평균,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
mkt_logret_ma5,market_microstructure,current_pm_final,mkt_logret_ma5,True,previous_selection_retained_after_target_overlap_gate,2129,0.99859287054409,2072,False,False,all_in_finbert_60d,,시장 수익률 이동평균,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
mkt_logret_ma60,market_microstructure,current_pm_final,mkt_logret_ma60,True,previous_selection_retained_after_target_overlap_gate,2111,0.9901500938086304,2075,False,False,all_in_finbert_60d,,시장 수익률 이동평균,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
mkt_logret_vol_20d,market_microstructure,current_pm_final,mkt_logret_vol_20d,True,previous_selection_retained_after_target_overlap_gate,2125,0.99671669793621,2097,False,False,all_in_finbert_60d,,시장 수익률 변동성,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
mkt_vol,market_microstructure,current_pm_final,mkt_vol,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,1725,False,False,all_in_finbert_60d,,거래량,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
mkt_vol_lag1,market_microstructure,current_pm_final,mkt_vol_lag1,True,previous_selection_retained_after_target_overlap_gate,2131,0.99953095684803,1724,False,False,all_in_finbert_60d,,거래량 시차,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
mkt_vol_lag20,market_microstructure,current_pm_final,mkt_vol_lag20,True,previous_selection_retained_after_target_overlap_gate,2112,0.9906191369606004,1705,False,False,all_in_finbert_60d,,거래량 시차,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
mkt_vol_lag5,market_microstructure,current_pm_final,mkt_vol_lag5,True,previous_selection_retained_after_target_overlap_gate,2127,0.99765478424015,1720,False,False,all_in_finbert_60d,,거래량 시차,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
mkt_vol_lag60,market_microstructure,current_pm_final,mkt_vol_lag60,True,previous_selection_retained_after_target_overlap_gate,2072,0.9718574108818012,1666,False,False,all_in_finbert_60d,,거래량 시차,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
mkt_vol_ma20,market_microstructure,current_pm_final,mkt_vol_ma20,True,previous_selection_retained_after_target_overlap_gate,2126,0.99718574108818,2124,False,False,all_in_finbert_60d,,거래량 이동평균,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
mkt_vol_ma5,market_microstructure,current_pm_final,mkt_vol_ma5,True,previous_selection_retained_after_target_overlap_gate,2130,0.99906191369606,2124,False,False,all_in_finbert_60d,,거래량 이동평균,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
mkt_vol_std20,market_microstructure,current_pm_final,mkt_vol_std20,True,previous_selection_retained_after_target_overlap_gate,2126,0.99718574108818,2121,False,False,all_in_finbert_60d,,거래량 변동성,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
mkt_vol_std60,market_microstructure,current_pm_final,mkt_vol_std60,True,previous_selection_retained_after_target_overlap_gate,2112,0.9906191369606004,2109,False,False,all_in_finbert_60d,,거래량 변동성,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
fuel_oil_krwkwh,power_energy,current_pm_final,fuel_oil_krwkwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,123,False,False,all_in_finbert_60d,,유류 연료비,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
fuel_bitum_coal_krwton,power_energy,current_pm_final,fuel_bitum_coal_krwton,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,유연탄 가격,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_day,power_energy,current_pm_final,pwr_day,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,31,False,False,all_in_finbert_60d,,전력수급 기준일,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_sup_cap_mw,power_energy,current_pm_final,pwr_sup_cap_mw,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,1993,False,False,all_in_finbert_60d,,전력 공급능력,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_anth_gwh,power_energy,current_pm_final,pwr_anth_gwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,121,False,False,all_in_finbert_60d,,무연탄 발전량,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_bitum_coal_gwh,power_energy,current_pm_final,pwr_bitum_coal_gwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,유연탄 발전량,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_ocean_gwh,power_energy,current_pm_final,pwr_ocean_gwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,116,False,False,all_in_finbert_60d,,해양 발전량,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_oil_gwh,power_energy,current_pm_final,pwr_oil_gwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,유류 발전량,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_other_gwh,power_energy,current_pm_final,pwr_other_gwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,기타 발전량,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_pumped_storage_gwh,power_energy,current_pm_final,pwr_pumped_storage_gwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,양수 발전량,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_solar_gwh,power_energy,current_pm_final,pwr_solar_gwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,태양광 발전량,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
wx_nat_is_precip_day,weather,current_pm_final,wx_nat_is_precip_day,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,7,False,False,all_in_finbert_60d,,강수 발생 여부,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
wx_nat_precip_mm,weather,current_pm_final,wx_nat_precip_mm,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,594,False,False,all_in_finbert_60d,,전국 강수량,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
wx_stn_sunshine_hours,weather,current_pm_final,wx_stn_sunshine_hours,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,845,False,False,all_in_finbert_60d,,관측소 일조시간,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
ext_us10y_z60,external_market,current_pm_final,ext_us10y_z60,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2066,False,False,all_in_finbert_60d,,미국 10년물 금리,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_us10y_chg20,external_market,current_pm_final,ext_us10y_chg20,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,1630,False,False,all_in_finbert_60d,,미국 10년물 금리,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_kr10y_chg20,external_market,current_pm_final,ext_kr10y_chg20,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,1166,False,False,all_in_finbert_60d,,한국 10년물 금리,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_kr10y_z60,external_market,current_pm_final,ext_kr10y_z60,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2128,False,False,all_in_finbert_60d,,한국 10년물 금리,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_sp500_z60,external_market,current_pm_final,ext_sp500_z60,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2066,False,False,all_in_finbert_60d,,S&P500,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_vkospi_z60,external_market,current_pm_final,ext_vkospi_z60,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2128,False,False,all_in_finbert_60d,,VKOSPI,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_gold_z60,external_market,current_pm_final,ext_gold_z60,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2067,False,False,all_in_finbert_60d,,금 가격,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_gold_ret20,external_market,current_pm_final,ext_gold_ret20,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2065,False,False,all_in_finbert_60d,,금 가격,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_vkospi_chg20,external_market,current_pm_final,ext_vkospi_chg20,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,1483,False,False,all_in_finbert_60d,,VKOSPI,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
fx_usdkrw_ret20,external_market,current_pm_final,fx_usdkrw_ret20,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2123,False,False,all_in_finbert_60d,,원/달러 환율,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_kospi_z60,external_market,current_pm_final,ext_kospi_z60,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2125,False,False,all_in_finbert_60d,,KOSPI,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
fx_usdkrw_z60,external_market,current_pm_final,fx_usdkrw_z60,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2123,False,False,all_in_finbert_60d,,원/달러 환율,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_kospi_ret20,external_market,current_pm_final,ext_kospi_ret20,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2125,False,False,all_in_finbert_60d,,KOSPI,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_sp500_ret20,external_market,current_pm_final,ext_sp500_ret20,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2066,False,False,all_in_finbert_60d,,S&P500,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_vix_z60,external_market,current_pm_final,ext_vix_z60,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2066,False,False,all_in_finbert_60d,,VIX,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_vix_chg20,external_market,current_pm_final,ext_vix_chg20,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,1514,False,False,all_in_finbert_60d,,VIX,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
pol_comp_attn,policy_compliance,current_pm_final,pol_comp_attn,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,829,False,False,all_in_finbert_60d,,이행마감 관심도,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pol_comp_deadline_w,policy_compliance,current_pm_final,pol_comp_deadline_w,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,46,False,False,all_in_finbert_60d,,이행마감 가중치,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
search_kau_intensity_level,nlp,features/nlp_final/nlp_final_features.parquet,search_kau_intensity_level,True,previous_selection_retained_after_target_overlap_gate,2124,0.9962476547842402,754,False,False,all_in_finbert_60d,,KAU 검색 관심도,NLP feature package의 as-of 검증 결과를 승계한다. 기사/검색/정책 signal은 공개일 또는 수집 asof_date <= trd_dd 조건으로 정렬한다.,selected
search_kau_intensity_shock,nlp,features/nlp_final/nlp_final_features.parquet,search_kau_intensity_shock,True,previous_selection_retained_after_target_overlap_gate,2124,0.9962476547842402,2114,False,False,all_in_finbert_60d,,KAU 검색 관심도,NLP feature package의 as-of 검증 결과를 승계한다. 기사/검색/정책 signal은 공개일 또는 수집 asof_date <= trd_dd 조건으로 정렬한다.,selected
